experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
5,0,Core,'PC Windows 2000',enhancement,P3,77,false,25928,5,5,2,9,240,607,20,241,0,338,2,Jerome Lanneluc,0,0,178,false,196,0.452722063,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,20,false,26025,4,3,1,6,432,56,7,208,0,348,2,Jerome Lanneluc,0,0,178,false,191,0.393505253,10,548,1,after-2
346,0,Core,'PC Windows 2000',critical,P1,28,false,26098,1,6,1,9,9.6,118,0,192,0,353,2,Philipe Mulet,0,0,178,false,266,0.361031519,10,548,1,after-2
293,0,Core,'PC Windows 2000',critical,P3,77,false,26128,1,4,1,8,8,9,0,191,0,354,2,Jerome Lanneluc,0,0,178,false,186,0.357211079,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,91,true,26134,2,5,1,6,204,77,6,213,0,347,2,Philipe Mulet,0,0,178,false,273,0.403056351,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,97,true,26138,1,8,1,6,123.4285714,137,4,207,0,349,2,Philipe Mulet,0,0,178,false,272,0.391595033,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,21,false,26141,1,6,1,7,163.2,87,4,204,0,349,2,Olivier Thomann,0,0,178,false,209,0.385864374,10,548,1,after-2
2,0,Core,'PC Linux-GTK',normal,P3,53,false,26195,3,6,1,5,163.2,235,7,219,0,346,2,Philipe Mulet,0,0,178,false,277,0.41451767,10,548,1,after-2
26,0,Core,'PC Windows 2000',enhancement,P3,152,false,26253,1,5,2,8,204,93,5,212,0,348,2,Olivier Thomann,0,0,178,false,211,0.401146132,10,548,1,after-2
1625,0,Core,'PC Windows 2000',critical,P3,15,false,26255,1,5,2,9,198,6,7,222,0,346,2,Philipe Mulet,0,0,178,false,279,0.420248329,10,548,1,after-2
26,0,Core,'PC Windows 2000',normal,P3,46,false,26260,4,6,3,11,408,18,64,336,0,289,2,Olivier Thomann,0,0,178,false,239,0.638013372,10,548,1,after-2
346,0,Core,'PC Windows 2000',critical,P3,100,true,26585,1,4,1,5,232,6,0,206,0,349,2,Philipe Mulet,0,0,178,true,271,0.389684814,10,548,1,after-2
112,0,Core,'PC Windows 2000',enhancement,P3,45,true,26588,1,3,0,4,360,114,0,202,0,349,2,David Audel,0,0,178,false,100,0.382043935,10,548,1,after-2
4,0,Core,'Sun Solaris',major,P3,76,true,26604,9,9,1,6,87,157,15,252,0,333,2,Philipe Mulet,0,0,178,false,287,0.473734479,10,548,1,after-2
112,0,Core,'PC Windows 2000',normal,P3,38,true,26677,1,3,0,4,336,31,0,211,0,348,2,David Audel,0,0,178,false,103,0.399235912,10,548,1,after-2
1,0,Core,'PC Windows 2000',major,P3,85,false,26706,1,3,1,5,348,15,1,220,0,346,2,Jerome Lanneluc,0,0,178,false,193,0.416427889,10,548,1,after-2
444,0,Core,'PC Windows 2000',critical,P1,382,false,26747,1,3,1,7,324,4,0,218,0,347,2,Kent Johnson,0,0,178,true,92,0.41260745,10,548,1,after-2
