experience,median_integration_time,component,platform,priority,description_size,hascode,files,activities,comments,tossing,comments_interval,churn,fix_time,workload,bug_id,delay,days,release_delay,resolver_experience,has_stack,resolver,rank_ratio,entire_int_rate,prev_int_rate,coming_from_prev,active_developers,release_size,class,class2
140,3,Critics,All,P3,44,false,1,8,8,1,43714.28571,56,665,375,667,0,226,0,21,false,mkl,0.615819209,0.545070423,3.279661017,323,26,521,1,next
140,2,Diagrams,All,P3,45,false,6,12,13,1,24479.08333,45,460,583,681,1,198,1,16,false,mkl,0.902406417,0,0,222,15,392,1,after-1
140,3,'State and Activity Diagram',All,P5,36,false,2,6,7,0,50999.83333,4,491,626,685,2,393,2,708,false,issues@argouml,0.95855615,0,0,222,26,521,1,after-2
140,3,'State and Activity Diagram',All,P3,18,false,91,9,10,0,33999.88889,7823,883,568,686,2,286,2,920,false,issues@argouml,0.984934087,0.545070423,3.279661017,323,19,345,1,after-2
140,4,Critics,All,P3,63,false,2,8,12,1,33433,187,2746,48,689,0,194,0,271,false,mvw,0.321678322,0.132075472,0.189189189,46,13,145,1,next
140,2,Critics,All,P5,27,false,1,6,7,0,51000,8,325,377,690,1,332,1,491,false,issues@argouml,0.648395722,0,0,222,15,392,1,after-1
140,3,'State and Activity Diagram',All,P2,21,false,13,32,19,2,18489.77778,901,1065,248,691,0,104,0,59,false,bobtarling,0.613832853,0,0,47,19,345,0,next
140,2,'State and Activity Diagram',All,P3,13,false,3,5,7,0,48737.16667,86,255,286,692,1,403,1,411,false,issues@argouml,0.53342246,0,0,222,15,392,1,after-1
140,3,'Collaboration Diagram',All,P2,79,false,7,7,12,0,27399.90909,369,200,194,697,3,684,3,274,false,issues@argouml,0.696476965,0,0,0,26,521,1,after-3-or-more
140,3,Other,All,P4,47,false,1,19,18,1,17999.64706,96,586,754,701,1,228,1,0,false,jjones,0.991549296,0.014975042,0.023746702,592,26,521,1,after-1
140,2,'Collaboration Diagram',All,P3,37,false,3,6,8,0,41964.57143,113,193,192,705,2,458,2,271,false,issues@argouml,0.688346883,0,0,0,15,392,1,after-2
140,3,'Collaboration Diagram',All,P4,41,false,2,7,7,0,50233.66667,65,194,196,712,3,684,3,276,false,issues@argouml,0.704607046,0,0,0,26,521,1,after-3-or-more
140,3,'State and Activity Diagram',All,P2,13,false,92,34,35,4,9788.5,7882,1058,247,713,0,104,0,57,false,bobtarling,0.608069164,0,0,47,19,345,0,next
140,4,Critics,All,P4,53,false,1,6,9,0,45970.5,24,2746,50,715,0,187,0,1355,false,issues@argouml,0.335664336,0.132075472,0.189189189,46,13,145,1,next
140,3,'State and Activity Diagram',All,P2,29,false,11,24,21,3,16640.7,463,1058,246,716,0,104,0,56,false,bobtarling,0.60518732,0,0,47,19,345,0,next
54,3,Other,'Windows 98',P3,26,false,2,7,9,0,37675.125,5,185,203,732,3,681,3,298,false,issues@argouml,0.764227642,0,0,0,26,521,1,after-3-or-more
4,0,Critics,'Windows NT',P3,31,false,1,12,14,1,23770.61538,9,367,488,735,1,271,1,14,false,mkl,0.784759358,0,0,222,15,392,1,after-1
3,0,Persistence,All,P1,67,false,4,6,8,0,43057.42857,517,134,151,738,3,731,3,188,false,issues@argouml,0.444444444,0,0,0,26,521,1,after-3-or-more
1,0,'CodeGeneration and ReverseEngineering','Windows 2000',P3,127,false,6,8,12,1,30839.81818,395,636,759,741,1,227,1,0,false,lepekhine,0.998591549,0.014975042,0.023746702,592,26,521,1,after-1
148,2,Persistence,other,P1,77,false,1,15,25,2,12757.83333,61,633,378,758,0,224,0,16,false,bobtarling,0.619585687,0.545070423,3.279661017,323,26,521,1,next
9,0,'Class Diagram','Windows 2000',P5,149,false,12,6,7,0,51503.83333,565,255,329,763,1,368,1,449,false,issues@argouml,0.589572193,0,0,222,15,392,1,after-1
115,2,'Class Diagram',other,P3,62,false,9,11,19,0,16225.22222,174,252,329,769,1,368,1,450,false,issues@argouml,0.590909091,0,0,222,15,392,1,after-1
101,0,'Class Diagram',All,P5,77,false,3,5,6,0,57366.6,24,103,149,775,1,403,1,176,false,issues@argouml,0.409214092,0,0,0,2,9,1,after-1
4,0,'CodeGeneration and ReverseEngineering',other,P3,224,true,2,12,12,0,28092.72727,57,410,579,779,1,201,1,668,false,issues@argouml,0.897058824,0,0,222,15,392,1,after-1
140,3,'Usecase Diagram',All,P4,36,false,43,16,12,0,30839.54545,4509,1079,359,784,0,41,0,1092,false,issues@argouml,0.951008646,0,0,47,19,345,0,next
3,0,'Class Diagram',Linux,P5,57,false,1,7,6,0,66563.8,6,725,457,800,0,102,0,841,false,issues@argouml,0.770244821,0.545070423,3.279661017,323,26,521,0,next
3,4,'Class Diagram',Linux,P3,71,false,4,17,14,1,26110.46154,2991,1330,405,801,0,66,0,185,false,bobtarling,0.820675105,0.979827089,1.133333333,7,20,482,0,next
357,2,Explorer,other,P3,65,false,3,12,13,1,28286.41667,77,1202,197,817,0,177,0,79,false,mvw,0.362869198,0.979827089,1.133333333,7,20,482,1,next
140,3,'Details Pane',All,P2,45,false,2,14,7,0,50999.83333,149,701,455,820,0,109,0,840,false,issues@argouml,0.766478343,0.545070423,3.279661017,323,26,521,0,next
140,3,'Documentation and Help',All,P3,59,false,2,15,10,0,36979.66667,35,1048,355,821,0,46,0,1088,false,issues@argouml,0.933717579,0,0,47,19,345,0,next
9,3,'Class Diagram',All,P4,91,false,7,17,14,1,26110.46154,256,1140,90,826,0,236,0,64,false,mvw,0.139240506,0.979827089,1.133333333,7,20,482,1,next
90,2,Other,All,P5,170,false,13,7,6,0,60280.4,0,158,272,828,2,646,2,400,false,issues@argouml,0.517379679,0,0,222,26,521,1,after-2
1,0,'Deployment Diagram','Windows 2000',P3,93,false,4,7,9,1,37675.25,25,31,141,829,3,773,3,2,false,mkl,0.376693767,0,0,0,26,521,1,after-3-or-more
13,2,'Usecase Diagram',Linux,P2,135,false,1,12,9,2,37675.25,4,42,145,834,3,759,3,3,true,mkl,0.398373984,0,0,0,26,521,1,after-3-or-more
12,0,Internationalization,'Windows 2000',P3,14,false,1,14,14,0,22966.15385,3,545,734,839,0,24,0,791,false,issues@argouml,0.95915493,0.014975042,0.023746702,592,15,392,0,next
2,3,'Collaboration Diagram','Windows 2000',P1,58,false,1,7,11,0,30140,4,20,143,845,3,770,3,167,false,issues@argouml,0.382113821,0,0,0,26,521,1,after-3-or-more
1,0,'Sequence Diagram',All,P3,108,false,2,22,21,2,16640.7,5,1095,79,867,0,243,0,2,false,mmacdonald,0.116033755,0.979827089,1.133333333,7,20,482,1,next
1,0,'Class Diagram','Windows NT',P3,208,false,1,6,6,0,61804.4,31,279,497,875,1,257,1,590,false,issues@argouml,0.79144385,0,0,222,15,392,1,after-1
62,2,'Class Diagram',Linux,P3,40,false,3,19,15,3,21858.71429,149,366,621,879,2,395,2,17,false,mkl,0.951871658,0,0,222,26,521,1,after-2
1,0,Persistence,Solaris,P1,72,false,1,12,11,0,30140.1,6,89,224,882,3,669,3,346,false,issues@argouml,0.89701897,0,0,0,26,521,1,after-3-or-more
42,0,Other,All,P4,18,false,2,6,5,0,71719.5,42,37,162,887,1,380,1,4,false,thierrylach,0.528455285,0,0,0,2,9,1,after-1
46,3,'Deployment Diagram',All,P4,25,false,1,6,7,0,50233.66667,2,54,175,888,3,699,3,237,false,issues@argouml,0.593495935,0,0,0,26,521,1,after-3-or-more
2,0,Diagrams,'Windows NT',P3,50,false,3,29,25,4,13867.125,402,228,662,896,1,312,2,14,false,bobtarling,0.85915493,0.014975042,0.023746702,592,26,521,1,after-1
78,2,'Class Diagram',Linux,P3,70,false,1,18,14,1,26110.46154,15,1126,164,897,0,194,0,49,false,mkl,0.297468354,0.979827089,1.133333333,7,20,482,1,next
60,0,'CodeGeneration and ReverseEngineering',Linux,P3,46,false,1,8,11,0,30602.5,15,117,282,898,1,406,1,409,false,issues@argouml,0.529411765,0,0,222,15,392,1,after-1
2,0,Explorer,other,P3,66,false,3,16,14,1,25600.38462,179,568,423,923,0,170,0,12,false,mvw,0.700564972,0.545070423,3.279661017,323,26,521,1,next
152,3,Model/MDR,All,P3,77,false,15,13,15,1,24245.42857,212,1291,473,928,0,13,0,54,false,tfmorris,0.970464135,0.979827089,1.133333333,7,20,482,0,next
146,0,'CodeGeneration and ReverseEngineering',All,P2,35,false,1,27,18,1,18177.52941,17,186,382,931,1,321,1,6,false,thn,0.656417112,0,0,222,15,392,1,after-1
159,2,'Collaboration Diagram',All,P3,147,false,13,7,13,0,25116.66667,413,41,190,950,3,685,3,267,false,issues@argouml,0.677506775,0,0,0,26,521,1,after-3-or-more
62,2,'Class Diagram',Linux,P3,51,false,1,6,6,0,60280.4,425,7,158,953,3,717,3,213,false,issues@argouml,0.514905149,0,0,0,26,521,1,after-3-or-more
152,3,'Details Pane','Windows 2000',P3,155,false,9,16,20,1,17991.57895,212,1304,37,954,0,169,0,117,false,mvw,0.093632959,1,1.014989293,0,13,274,1,next
46,2,Other,All,P4,186,false,21,12,12,0,30256.09091,2160,375,650,958,1,121,1,729,false,issues@argouml,0.990641711,0,0,222,15,392,0,after-1
145,2,Other,All,P4,127,true,3,8,9,1,37363.75,11,221,487,963,1,272,1,3,false,linus,0.78342246,0,0,222,15,392,1,after-1
115,0,Other,All,P5,446,false,81,11,21,0,14492.35,449,42,213,972,1,340,1,327,false,issues@argouml,0.845528455,0,0,0,2,9,1,after-1
